batch_sz,cycles_per_op
5,6
6,4
7,3
8,5
9,5
10,2
11,2
12,2
13,19
14,18
15,17
16,16
17,16
18,15
19,14
20,14
21,13
22,13
23,14
24,14
25,19
26,19
27,18
28,18
29,32
30,17
31,17
32,17
