
START dramblast {

START Insert TEST {
#           time             counts unit events
     1.001429257        995,349,207      umc_cas_cmd.all                  #  63702.3 MB/s  umc_mem_bandwidth   
    40.085430575      3,466,643,739      umc_cas_cmd.all                  # 221865.2 MB/s  umc_mem_bandwidth   
    40.085430575      1,001,460,048 ns   duration_time                                                         
    41.090438181      3,485,453,361      umc_cas_cmd.all                  # 223069.0 MB/s  umc_mem_bandwidth   
    41.090438181      1,005,007,606 ns   duration_time                                                         
    42.091962479      3,468,581,827      umc_cas_cmd.all                  # 221989.2 MB/s  umc_mem_bandwidth   
    42.091962479      1,001,524,298 ns   duration_time                                                         
    43.093430508      3,457,282,911      umc_cas_cmd.all                  # 221266.1 MB/s  umc_mem_bandwidth   
    43.093430508      1,001,468,029 ns   duration_time                                                         
    44.094996756      3,448,923,971      umc_cas_cmd.all                  # 220731.1 MB/s  umc_mem_bandwidth   
    44.094996756      1,001,566,248 ns   duration_time                                                         
    45.099467100      3,476,491,018      umc_cas_cmd.all                  # 222495.4 MB/s  umc_mem_bandwidth   
    45.099467100      1,004,470,344 ns   duration_time                                                         
    46.101004208      3,461,512,658      umc_cas_cmd.all                  # 221536.8 MB/s  umc_mem_bandwidth   
    46.101004208      1,001,537,108 ns   duration_time                                                         
    47.102530576      3,469,139,783      umc_cas_cmd.all                  # 222024.9 MB/s  umc_mem_bandwidth   
    47.102530576      1,001,526,368 ns   duration_time                                                         
    48.103944204      3,490,759,094      umc_cas_cmd.all                  # 223408.6 MB/s  umc_mem_bandwidth   
    48.103944204      1,001,413,628 ns   duration_time                                                         
    49.107430123      3,494,536,269      umc_cas_cmd.all                  # 223650.3 MB/s  umc_mem_bandwidth   
    49.107430123      1,003,485,919 ns   duration_time                                                         
    50.108980501      3,480,904,433      umc_cas_cmd.all                  # 222777.9 MB/s  umc_mem_bandwidth   
    50.108980501      1,001,550,378 ns   duration_time                                                         
    51.113452164      3,473,200,497      umc_cas_cmd.all                  # 222284.8 MB/s  umc_mem_bandwidth   
    51.113452164      1,004,471,663 ns   duration_time                                                         
    52.115047363      3,475,123,174      umc_cas_cmd.all                  # 222407.9 MB/s  umc_mem_bandwidth   
    52.115047363      1,001,595,199 ns   duration_time                                                         
#           time             counts unit events
    53.119440136      3,489,531,558      umc_cas_cmd.all                  # 223330.0 MB/s  umc_mem_bandwidth   
    53.119440136      1,004,392,773 ns   duration_time                                                         
    54.121010765      3,478,031,524      umc_cas_cmd.all                  # 222594.0 MB/s  umc_mem_bandwidth   
    54.121010765      1,001,570,629 ns   duration_time                                                         
    55.122482413      3,469,605,965      umc_cas_cmd.all                  # 222054.8 MB/s  umc_mem_bandwidth   
    55.122482413      1,001,471,648 ns   duration_time                                                         
